utc_iso,unix_t,range_km,fd_hz
01-Dec-2025 18:28:05,1764613685.59174,7817.755707928,1562.71660454215
01-Dec-2025 18:28:06,1764613686.09174,7817.17304178904,1560.9619980813
01-Dec-2025 18:28:06,1764613686.59174,7816.59103244512,1559.20634107323
01-Dec-2025 18:28:07,1764613687.09174,7816.00972718583,1557.44977574615
01-Dec-2025 18:28:07,1764613687.59174,7815.4291730736,1555.69244462225
01-Dec-2025 18:28:08,1764613688.09174,7814.84927696044,1553.93406540523
01-Dec-2025 18:28:08,1764613688.59174,7814.27013255777,1552.17492225277
01-Dec-2025 18:28:09,1764613689.09174,7813.69164696647,1550.41473272085
01-Dec-2025 18:28:09,1764613689.59174,7813.11391367014,1548.65378126178
01-Dec-2025 18:28:10,1764613690.09174,7812.53683997369,1546.89178500084
01-Dec-2025 18:28:10,1764613690.59174,7811.96047276706,1545.12888668682
01-Dec-2025 18:28:11,1764613691.09174,7811.38485871206,1543.36522936004
01-Dec-2025 18:28:11,1764613691.59174,7810.80990545427,1541.60052971462
01-Dec-2025 18:28:12,1764613692.09174,7810.23570590635,1539.83507293473
01-Dec-2025 18:28:12,1764613692.59174,7809.66216797414,1538.06857563999
01-Dec-2025 18:28:13,1764613693.09174,7809.08938430881,1536.30132309468
01-Dec-2025 18:28:13,1764613693.59174,7808.51726304309,1534.53303163057
01-Dec-2025 18:28:14,1764613694.09174,7807.94589661061,1532.76398687481
01-Dec-2025 18:28:14,1764613694.59174,7807.3751934044,1530.99390508658
01-Dec-2025 18:28:15,1764613695.09174,7806.80519973284,1529.22292925256
01-Dec-2025 18:28:15,1764613695.59174,7806.23596175174,1527.45120314498
01-Dec-2025 18:28:16,1764613696.09174,7805.66738816326,1525.67844238303
01-Dec-2025 18:28:16,1764613696.59174,7805.09957081671,1523.90493324749
01-Dec-2025 18:28:17,1764613697.09174,7804.5324186424,1522.13039107316
01-Dec-2025 18:28:17,1764613697.59174,7803.96602327105,1520.35510250145
01-Dec-2025 18:28:18,1764613698.09174,7803.40029389317,1518.57878279614
01-Dec-2025 18:28:18,1764613698.59174,7802.83527641532,1516.80157545521
01-Dec-2025 18:28:19,1764613699.09174,7802.27101658942,1515.02362476092
01-Dec-2025 18:28:19,1764613699.59174,7801.70742391661,1513.24464533935
01-Dec-2025 18:28:20,1764613700.09174,7801.14458944191,1511.46492448118
01-Dec-2025 18:28:20,1764613700.59174,7800.58242289534,1509.68417652998
01-Dec-2025 18:28:21,1764613701.09174,7800.02101510253,1507.90268913562
01-Dec-2025 18:28:21,1764613701.59174,7799.46027605381,1506.12017657288
01-Dec-2025 18:28:22,1764613702.09174,7798.90025125252,1504.33678284728
01-Dec-2025 18:28:22,1764613702.59174,7798.34098604549,1502.5526527479
01-Dec-2025 18:28:23,1764613703.09174,7797.7823907354,1500.76749991459
01-Dec-2025 18:28:23,1764613703.59174,7797.2245555604,1498.98161264097
01-Dec-2025 18:28:24,1764613704.09174,7796.66739105286,1497.19470428683
01-Dec-2025 18:28:24,1764613704.59174,7796.11098723029,1495.40706350206
01-Dec-2025 18:28:25,1764613705.09174,7795.55525488592,1493.61840358096
01-Dec-2025 18:28:25,1764613705.59174,7795.00023911839,1491.82886903258
01-Dec-2025 18:28:26,1764613706.09174,7794.44598486801,1490.03860514881
01-Dec-2025 18:28:26,1764613706.59174,7793.89240324163,1488.24732459079
01-Dec-2025 18:28:27,1764613707.09174,7793.33958366794,1486.45531664783
01-Dec-2025 18:28:27,1764613707.59174,7792.78743748413,1484.66229370279
01-Dec-2025 18:28:28,1764613708.09174,7792.2360538972,1482.86854539895
01-Dec-2025 18:28:28,1764613708.59174,7791.68534450557,1481.0737840567
01-Dec-2025 18:28:29,1764613709.09174,7791.135354002,1479.27815468528
01-Dec-2025 18:28:29,1764613709.59174,7790.58612691887,1477.48180307543
01-Dec-2025 18:28:30,1764613710.09174,7790.03757516996,1475.68444091744
01-Dec-2025 18:28:30,1764613710.59174,7789.48978737165,1473.88635848823
01-Dec-2025 18:28:31,1764613711.09174,7788.94267566863,1472.08726720147
01-Dec-2025 18:28:31,1764613711.59174,7788.39632847499,1470.28745783003
01-Dec-2025 18:28:32,1764613712.09174,7787.85065813634,1468.48664129693
01-Dec-2025 18:28:32,1764613712.59174,7787.30575282406,1466.68510858394
01-Dec-2025 18:28:33,1764613713.09174,7786.76152517531,1464.88257076938
01-Dec-2025 18:28:33,1764613713.59174,7786.21801935919,1463.07917350054
01-Dec-2025 18:28:34,1764613714.09174,7785.6752793817,1461.27506320403
01-Dec-2025 18:28:34,1764613714.59174,7785.1332181978,1459.46995033265
01-Dec-2025 18:28:35,1764613715.09174,7784.59192337547,1457.66412642159
01-Dec-2025 18:28:35,1764613715.59174,7784.05130810172,1455.85730165037
01-Dec-2025 18:28:36,1764613716.09174,7783.51145972103,1454.04976790434
01-Dec-2025 18:28:36,1764613716.59174,7782.9722916818,1452.24123530548
01-Dec-2025 18:28:37,1764613717.09174,7782.43384774412,1450.43184999226
01-Dec-2025 18:28:37,1764613717.59174,7781.89617150321,1448.62175888199
01-Dec-2025 18:28:38,1764613718.09174,7781.35917672664,1446.81067147328
01-Dec-2025 18:28:38,1764613718.59174,7780.82295016419,1444.99888027173
01-Dec-2025 18:28:39,1764613719.09174,7780.28740581627,1443.18609450504
01-Dec-2025 18:28:39,1764613719.59174,7779.75263020818,1441.3726070268
01-Dec-2025 18:28:40,1764613720.09174,7779.21853760207,1439.5581270102
01-Dec-2025 18:28:40,1764613720.59174,7778.68517134759,1437.74280108076
01-Dec-2025 18:28:41,1764613721.09174,7778.15257462797,1435.92677664275
01-Dec-2025 18:28:41,1764613721.59174,7777.62066202587,1434.10976224806
01-Dec-2025 18:28:42,1764613722.09174,7777.08951947041,1432.29205136536
01-Dec-2025 18:28:42,1764613722.59174,7776.55906177781,1430.47335227798
01-Dec-2025 18:28:43,1764613723.09174,7776.02937465174,1428.65395880019
01-Dec-2025 18:28:43,1764613723.59174,7775.50037317041,1426.83357916356
01-Dec-2025 18:28:44,1764613724.09174,7774.97210027194,1425.01236047728
01-Dec-2025 18:28:44,1764613724.59174,7774.44459872622,1423.19045062854
01-Dec-2025 18:28:45,1764613725.09174,7773.91778393352,1421.36755723029
01-Dec-2025 18:28:45,1764613725.59174,7773.3917409997,1419.54397470641
01-Dec-2025 18:28:46,1764613726.09174,7772.86638555919,1417.71941040303
01-Dec-2025 18:28:46,1764613726.59174,7772.3418024918,1415.89415908848
01-Dec-2025 18:28:47,1764613727.09174,7771.8179076939,1414.06792805911
01-Dec-2025 18:28:47,1764613727.59174,7771.29474369125,1412.24086490533
01-Dec-2025 18:28:48,1764613728.09174,7770.7723528386,1410.41311799168
01-Dec-2025 18:28:48,1764613728.59174,7770.25065135665,1408.58439400095
01-Dec-2025 18:28:49,1764613729.09174,7769.72972352543,1406.75498830419
01-Dec-2025 18:28:49,1764613729.59174,7769.2094858002,1404.92460731875
01-Dec-2025 18:28:50,1764613730.09174,7768.69002223394,1403.09354675754
01-Dec-2025 18:28:50,1764613730.59174,7768.17124954419,1401.26151299127
01-Dec-2025 18:28:51,1764613731.09174,7767.65325150157,1399.42880163916
01-Dec-2025 18:28:51,1764613731.59174,7767.13594506797,1397.59511888147
01-Dec-2025 18:28:52,1764613732.09174,7766.61937226357,1395.76061313676
01-Dec-2025 18:28:52,1764613732.59174,7766.1035748811,1393.9254331622
01-Dec-2025 18:28:53,1764613733.09174,7765.58847019922,1392.08928445456
01-Dec-2025 18:28:53,1764613733.59174,7765.07414145948,1390.25246380863
01-Dec-2025 18:28:54,1764613734.09174,7764.56050614923,1388.41467624174
01-Dec-2025 18:28:54,1764613734.59174,7764.0476472639,1386.57621874292
01-Dec-2025 18:28:55,1764613735.09174,7763.53548257128,1384.73679643092
01-Dec-2025 18:28:55,1764613735.59174,7763.02405367545,1382.89655819575
01-Dec-2025 18:28:56,1764613736.09174,7762.51340195201,1381.05565326353
01-Dec-2025 18:28:56,1764613736.59174,7762.00344550544,1379.21378621833
01-Dec-2025 18:28:57,1764613737.09174,7761.49426674525,1377.37125478417
01-Dec-2025 18:28:57,1764613737.59174,7760.9857839858,1375.52776306758
01-Dec-2025 18:28:58,1764613738.09174,7760.47807938964,1373.68360898338
01-Dec-2025 18:28:58,1764613738.59174,7759.97107156046,1371.83849681635
01-Dec-2025 18:28:59,1764613739.09174,7759.46480165849,1369.99257570453
01-Dec-2025 18:28:59,1764613739.59174,7758.95931066728,1368.14599555764
01-Dec-2025 18:29:00,1764613740.09174,7758.45451751945,1366.29846005508
